Path	Reads	TTC	ACG
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-39-6_S61_L001_R1_001.fastq.gz	27259	0	26922
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-72-1_S178_L001_R1_001.fastq.gz	48913	0	48446
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-29_S10_L001_R1_001.fastq.gz	25952	0	25683
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-81_S21_L001_R1_001.fastq.gz	17589	0	17395
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-87_S27_L001_R2_001.fastq.gz	16232	48	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-62-6_S149_L001_R1_001.fastq.gz	36556	0	36094
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-140722-16S-c-143_S82_L001_R2_001.fastq.gz	25343	11	1
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-43-3_S68_L001_R2_001.fastq.gz	36542	63	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-64_S158_L001_R1_001.fastq.gz	32159	0	31690
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-20-1_S136_L001_R1_001.fastq.gz	17223	0	16984
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-16-3_S111_L001_R2_001.fastq.gz	26761	3	1
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-92_S32_L001_R1_001.fastq.gz	47398	0	46864
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-280622-16S-c-94_S34_L001_R2_001.fastq.gz	33217	91	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-21-7_S149_L001_R1_001.fastq.gz	26069	0	25709
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-040722-16S-c-99_S39_L001_R1_001.fastq.gz	19175	0	19023
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/A-230622-16S-c-61-5_S141_L001_R1_001.fastq.gz	54928	0	54311
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-25-6_S175_L001_R1_001.fastq.gz	31505	0	31033
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-13-5_S94_L001_R1_001.fastq.gz	27181	0	26842
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-26-1_S1_L001_R2_001.fastq.gz	15935	59	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/H-200622-16S-c-13-3_S92_L001_R2_001.fastq.gz	19909	122	0
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-26-6_S6_L001_R2_001.fastq.gz	30418	81	6
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH/R-210622-16S-c-39-4_S59_L001_R2_001.fastq.gz	25552	1	0
