Path	Reads
./seq230707_DWDQH/R-140722-16S-c-138_S78_L001_R2_001.fastq.gz	23945
./seq230707_DWDQH/A-230622-16S-c-51-4_S107_L001_R1_001.fastq.gz	41479
./seq230707_DWDQH/R-210622-16S-c-48-5_S87_L001_R1_001.fastq.gz	33983
./seq230707_DWDQH/A-230622-16S-c-62-5_S148_L001_R2_001.fastq.gz	48006
./seq230707_DWDQH/R-210622-16S-c-28_S9_L001_R1_001.fastq.gz	36225
./seq230707_DWDQH/R-210622-16S-c-27_S8_L001_R1_001.fastq.gz	27739
./seq230707_DWDQH/R-210622-16S-c-44-4_S76_L001_R2_001.fastq.gz	288665
./seq230707_DWDQH/R-210622-16S-c-39-5_S60_L001_R2_001.fastq.gz	33596
./seq230707_DWDQH/H-200622-16S-c-19-1_S129_L001_R1_001.fastq.gz	25219
./seq230707_DWDQH/R-210622-16S-c-36-6_S40_L001_R1_001.fastq.gz	41392
./seq230707_DWDQH/A-230622-16S-c-71-7_S177_L001_R1_001.fastq.gz	55255
./seq230707_DWDQH/R-210622-16S-c-38-7_S55_L001_R2_001.fastq.gz	39803
./seq230707_DWDQH/R-210622-16S-c-30-7_S17_L001_R2_001.fastq.gz	32114
./seq230707_DWDQH/R-210622-16S-c-30-1_S11_L001_R1_001.fastq.gz	23456
./seq230707_DWDQH/H-200622-16S-c-13-6_S95_L001_R1_001.fastq.gz	25159
./seq230707_DWDQH/A-230622-16S-c-71-5_S175_L001_R1_001.fastq.gz	62248
./seq230707_DWDQH/H-200622-16S-c-15-4_S106_L001_R1_001.fastq.gz	19049
./seq230707_DWDQH/H-200622-16S-c-24-2_S164_L001_R1_001.fastq.gz	30013
