EX_id,BS_id,EX_date,EX_plate,EX_dna_conc,EX_row_count
EX_LY_A_2022_SP_016_BS_230622_W_2_EX_230802,BS_230622_W_2,2023-08-02,9.0,0.8605940967404527,2
EX_LY_A_2022_SP_016_BS_230622_W_3_EX_230802,BS_230622_W_3,2023-08-02,9.0,0.4670149618747914,2
EX_LY_A_2022_SP_016_BS_230622_W_4_EX_230802,BS_230622_W_4,2023-08-02,9.0,0.2843635910389392,2
EX_LY_A_2022_SP_016_BS_230622_W_5_EX_230802,BS_230622_W_5,2023-08-02,9.0,1.0626348657737523,2
EX_LY_A_2022_SP_016_BS_230622_W_6_EX_230802,BS_230622_W_6,2023-08-02,9.0,0.5482240971656785,2
EX_LY_A_2022_SP_016_BS_230622_W_7_EX_230802,BS_230622_W_7,2023-08-02,9.0,0.2067070038745048,2
EX_LY_A_2022_SP_017_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0,,2
EX_LY_A_2022_SP_017_BS_230622_W_1_EX_230802,BS_230622_W_1,2023-08-02,9.0,0.105923980869787,2
EX_LY_A_2022_SP_017_BS_230622_W_2_EX_230802,BS_230622_W_2,2023-08-02,9.0,0.3321373762935921,2
EX_LY_A_2022_SP_017_BS_230622_W_3_EX_230802,BS_230622_W_3,2023-08-02,9.0,0.2535875898852048,2
EX_LY_A_2022_SP_017_BS_230622_W_4_EX_230802,BS_230622_W_4,2023-08-02,9.0,0.3221254452215752,2
EX_LY_A_2022_SP_017_BS_230622_W_5_EX_230802,BS_230622_W_5,2023-08-02,9.0,0.3111618182296791,2
EX_LY_A_2022_SP_017_BS_230622_W_6_EX_230802,BS_230622_W_6,2023-08-02,9.0,0.5213043768787838,2
EX_LY_A_2022_SP_017_BS_230622_W_7_EX_230802,BS_230622_W_7,2023-08-02,9.0,0.1165343779339739,2
EX_LY_A_2022_SP_018_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,10
EX_LY_A_2022_SP_018_BS_230622_W_1_EX_230802,BS_230622_W_1,2023-08-02,9.0,0.101127253443823,2
EX_LY_A_2022_SP_018_BS_230622_W_2_EX_230802,BS_230622_W_2,2023-08-02,9.0,0.3027202979190707,2
EX_LY_A_2022_SP_018_BS_230622_W_3_EX_230802,BS_230622_W_3,2023-08-02,9.0,0.0592796314349437,2
EX_LY_A_2022_SP_018_BS_230622_W_4_EX_230803,BS_230622_W_4,2023-08-03,9.0,0.2427837038160306,2
EX_LY_A_2022_SP_018_BS_230622_W_5_EX_230803,BS_230622_W_5,2023-08-03,9.0,0.0122393045015217,2
EX_LY_A_2022_SP_018_BS_230622_W_6_EX_230803,BS_230622_W_6,2023-08-03,9.0,0.260967170540534,2
EX_LY_A_2022_SP_018_BS_230622_W_7_EX_230803,BS_230622_W_7,2023-08-03,9.0,0.1961776022077545,2
EX_LY_A_2022_SP_019_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,10
EX_LY_A_2022_SP_019_BS_230622_W_1_EX_230803,BS_230622_W_1,2023-08-03,9.0,0.0253718082469963,2
EX_LY_A_2022_SP_019_BS_230622_W_2_EX_230803,BS_230622_W_2,2023-08-03,9.0,0.1233222422135862,2
EX_LY_A_2022_SP_019_BS_230622_W_3_EX_230803,BS_230622_W_3,2023-08-03,9.0,0.0740522919785083,2
EX_LY_A_2022_SP_019_BS_230622_W_4_EX_230803,BS_230622_W_4,2023-08-03,9.0,0.3125679883240634,2
EX_LY_A_2022_SP_019_BS_230622_W_5_EX_230803,BS_230622_W_5,2023-08-03,9.0,0.0660494967373479,2
EX_LY_A_2022_SP_019_BS_230622_W_6_EX_230803,BS_230622_W_6,2023-08-03,9.0,0.0663824778156981,2
EX_LY_A_2022_SP_019_BS_230622_W_7_EX_230803,BS_230622_W_7,2023-08-03,9.0,0.1801517628760745,2
EX_LY_A_2022_SP_020_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,10
EX_LY_A_2022_SP_020_BS_230622_W_1_EX_230803,BS_230622_W_1,2023-08-03,9.0,0.2978628239450293,2
EX_LY_A_2022_SP_020_BS_230622_W_2_EX_230808,BS_230622_W_2,2023-08-08,9.0,0.0644430880215231,2
EX_LY_A_2022_SP_020_BS_230622_W_3_EX_230803,BS_230622_W_3,2023-08-03,9.0,0.075505709388064,2
EX_LY_A_2022_SP_020_BS_230622_W_4_EX_230803,BS_230622_W_4,2023-08-03,9.0,0.2258646652403977,2
EX_LY_A_2022_SP_020_BS_230622_W_5_EX_230803,BS_230622_W_5,2023-08-03,9.0,0.0604248163598103,2
EX_LY_A_2022_SP_020_BS_230622_W_6_EX_230803,BS_230622_W_6,2023-08-03,9.0,0.221560659815506,2
EX_LY_A_2022_SP_020_BS_230622_W_7_EX_230803,BS_230622_W_7,2023-08-03,9.0,0.0526717569274126,2
EX_LY_A_2022_SP_021_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,10
EX_LY_A_2022_SP_021_BS_230622_W_1_EX_230803,BS_230622_W_1,2023-08-03,9.0,0.0339910684575349,2
EX_LY_A_2022_SP_021_BS_230622_W_2_EX_230803,BS_230622_W_2,2023-08-03,9.0,0.0561050618298615,2
EX_LY_A_2022_SP_021_BS_230622_W_3_EX_230803,BS_230622_W_3,2023-08-03,9.0,0.0697235379599554,2
EX_LY_A_2022_SP_021_BS_230622_W_4_EX_230803,BS_230622_W_4,2023-08-03,9.0,0.0842217141010962,2
EX_LY_A_2022_SP_021_BS_230622_W_5_EX_230803,BS_230622_W_5,2023-08-03,9.0,0.079260746008108,2
EX_LY_A_2022_SP_021_BS_230622_W_6_EX_230803,BS_230622_W_6,2023-08-03,9.0,0.1694018737385248,2
EX_LY_A_2022_SP_021_BS_230622_W_7_EX_230808,BS_230622_W_7,2023-08-08,9.0,0.0099264359302782,2
EX_LY_A_2022_SP_022_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0,,2
EX_LY_A_2022_SP_022_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0,,2
EX_LY_A_2022_SP_022_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0,,2
