sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2021__2.0__46.0__4.0,LY__2021,,,,,,2.0,46.0,4.0,,,,n,Zero,Heerup,,150.0,,
SP__LY__2021__2.0__45.0__4.0,LY__2021,,,,,,2.0,45.0,4.0,,,,n,Zero,Rembrandt,,150.0,,
SP__LY__2021__2.0__44.0__4.0,LY__2021,,,,,,2.0,44.0,4.0,,,,n,Zero,Kvium,,300.0,,
SP__LY__2021__2.0__43.0__4.0,LY__2021,,,,,,2.0,43.0,4.0,,,,n,Zero,Sheriff,,450.0,,
SP__LY__2021__2.0__42.0__4.0,LY__2021,,,,,,2.0,42.0,4.0,,,,n,Zero,Rembrandt,,450.0,,
SP__LY__2021__2.0__41.0__4.0,LY__2021,,,,,,2.0,41.0,4.0,,,,n,Zero,Kvium,,450.0,,
SP__LY__2021__2.0__39.0__4.0,LY__2021,,,,,,2.0,39.0,4.0,,,,n,Zero,Heerup,,300.0,,
SP__LY__2021__3.0__93.0__8.0,LY__2021,,,,,,3.0,93.0,8.0,,,,n,Zero,Rembrandt,,300.0,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__3.0__8.0,LY__2022,,,,,,3.0,8.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__3.0__9.0,LY__2022,,,,,,3.0,9.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__5.0__13.0,LY__2022,,,,,,5.0,13.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__5.0__14.0,LY__2022,,,,,,5.0,14.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__1.0__2.0,LY__2022,,,,,,1.0,2.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__1.0__3.0,LY__2022,,,,,,1.0,3.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__3.0__7.0,LY__2022,,,,,,3.0,7.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__7.0__21.0,LY__2022,,,,,,7.0,21.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Rembrandt,,,,
SP__LY__2022__1.0__2.0,LY__2022,,,,,,1.0,2.0,,,,,n,n,Heerup,,,,
SP__LY__2022__7.0__20.0,LY__2022,,,,,,7.0,20.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__5.0__15.0,LY__2022,,,,,,5.0,15.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__7.0__19.0,LY__2022,,,,,,7.0,19.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__1.0__1.0,LY__2022,,,,,,1.0,1.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__9.0__14.0,LY__2022,,,,,,9.0,14.0,,,,,n,n,Kvium,,unknown,,
SP__LY__2022__9.0__15.0,LY__2022,,,,,,9.0,15.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__10.0__16.0,LY__2022,,,,,,10.0,16.0,,,,,y,n,Rembrandt,,unknown,,
SP__LY__2022__10.0__17.0,LY__2022,,,,,,10.0,17.0,,,,,y,n,Heerup,,unknown,,
SP__LY__2022__10.0__18.0,LY__2022,,,,,,10.0,18.0,,,,,y,n,Kvium,,unknown,,
SP__LY__2022__13.0__19.0,LY__2022,,,,,,13.0,19.0,,,,,n,n,Rembrandt,,unknown,,
SP__LY__2022__13.0__20.0,LY__2022,,,,,,13.0,20.0,,,,,n,n,Heerup,,unknown,,
SP__LY__2022__14.0__21.0,LY__2022,,,,,,14.0,21.0,,,,,y,n,Heerup,,unknown,,
