run_ID,seq_sample_ID,forward_fq,reverse_fq
seq260520_BRLUV,A-230622-16S-w-12-5,BRLUV2-A-230622-16S-w-12-5_S218_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-5_S218_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-12-6,BRLUV2-A-230622-16S-w-12-6_S208_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-6_S208_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-12-7,BRLUV2-A-230622-16S-w-12-7_S206_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-12-7_S206_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-13-2,BRLUV2-A-230622-16S-w-13-2_S205_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-13-2_S205_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-13-3,BRLUV2-A-230622-16S-w-13-3_S204_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-13-3_S204_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-13-4,BRLUV2-A-230622-16S-w-13-4_S267_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-13-4_S267_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-13-5,BRLUV2-A-230622-16S-w-13-5_S202_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-13-5_S202_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-13-6,BRLUV2-A-230622-16S-w-13-6_S201_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-13-6_S201_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-13-7,BRLUV2-A-230622-16S-w-13-7_S200_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-13-7_S200_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-14-1,BRLUV2-A-230622-16S-w-14-1_S199_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-14-1_S199_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-2-1,BRLUV2-A-230622-16S-w-2-1_S233_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-1_S233_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-2-2,BRLUV2-A-230622-16S-w-2-2_S232_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-2_S232_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-2-3,BRLUV2-A-230622-16S-w-2-3_S241_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-3_S241_L001_R2_001.fastq.gz
